carat,cut,color,clarity,depth,table,price,x,y,z
0.25789397118484525,Good,G,VVS1,62.1,56.0,559,3.97,4.0,2.47
0.6537065251541053,Premium,F,VVS2,60.0,57.0,2201,5.44,5.42,3.26
0.49865033567567985,Very Good,E,VVS2,62.1,55.0,1238,4.76,4.74,2.95
0.4987745546536958,Premium,E,VVS2,60.8,57.0,1304,4.92,4.89,2.98
1.7566931040672564,Good,E,SI2,62.3,55.0,6901,7.44,7.37,4.61
1.1386608240484495,Premium,E,SI2,55.4,62.0,3011,6.63,6.59,3.66
0.6141422428995327,Premium,F,VS1,60.2,56.0,1765,5.22,5.24,3.15
0.5930250504655931,Good,D,VS2,62.0,56.0,1679,5.17,5.19,3.21
0.6606588637226821,Premium,E,VS2,60.0,59.0,2102,5.58,5.56,3.34
1.204676064499979,Ideal,H,SI1,60.3,57.0,4789,6.79,6.85,4.11
0.4348922331436804,Very Good,D,SI2,62.8,56.0,855,4.73,4.7,2.96
2.18077869923044,Premium,E,SI2,62.8,56.0,13134,7.76,7.82,4.89
0.7121573887578774,Very Good,F,SI1,55.3,63.0,1367,5.67,5.61,3.12
0.8699683427224867,Premium,F,SI1,63.5,56.0,2401,5.58,5.66,3.57
0.6332472326525711,Ideal,H,IF,61.2,65.0,1440,5.16,5.27,3.19
1.9288416913571786,Good,I,VS1,61.2,55.0,10286,7.49,7.47,4.58
1.1296515720505462,Good,F,SI2,61.6,66.0,2958,6.46,6.24,3.92
0.45211368838980937,Ideal,E,VVS1,62.6,56.0,1397,4.73,4.7,2.95
1.8638385026281303,Good,F,SI1,62.8,56.0,9904,7.26,7.33,4.58
0.4121232754553053,Premium,I,VS1,60.7,62.0,552,4.53,4.59,2.77
2.3833949191795134,Very Good,I,VS2,61.2,58.0,18193,8.18,8.2,5.01
0.4553097791601106,Good,E,SI1,60.9,60.0,945,4.77,4.75,2.9
0.38677827050865626,Premium,F,VS2,61.9,55.0,625,4.31,4.35,2.68
0.32545826101398595,Very Good,H,VVS2,61.7,54.2,631,4.32,4.35,2.67
1.0032055624954346,Ideal,H,SI2,60.6,57.0,3854,6.3,6.26,3.81
0.60415194500482,Premium,E,SI1,61.4,56.0,1415,5.21,5.24,3.21
0.37924952788899674,Premium,E,VS1,60.8,57.0,1033,4.53,4.49,2.74
2.225809161748628,Premium,F,SI2,62.7,57.0,13453,8.07,7.93,5.03
1.158736554889,Premium,D,VS1,59.1,56.0,8341,6.65,6.59,3.91
0.2619783920971808,Premium,F,VS2,61.8,55.0,493,3.93,3.96,2.43
1.1700561930599238,Very Good,F,SI2,62.5,55.0,4416,6.39,6.4,4.0
0.6358987725725049,Ideal,E,SI1,61.4,60.0,1422,5.21,5.25,3.21
2.240170721946549,Good,J,SI1,63.4,57.0,11566,7.97,7.89,5.03
0.5513055187204312,Good,G,VVS2,63.3,58.0,1800,5.04,5.07,3.2
0.608390304161431,Premium,F,VVS2,62.8,55.0,2153,5.0,5.13,3.18
0.3705609184074446,Premium,J,VS1,62.6,53.0,373,4.28,4.32,2.69
0.37331546668001736,Good,F,VS2,60.9,56.0,776,4.35,4.32,2.64
0.615343360140845,Good,G,VVS1,63.3,53.0,1885,5.06,5.09,3.21
0.5641578165916491,Premium,G,VVS2,63.1,58.0,1974,5.11,5.07,3.21
2.4756777440946314,Very Good,H,VS2,62.2,58.0,18443,8.17,8.12,5.06
0.7623356116042486,Premium,G,VS1,60.7,55.0,2206,5.55,5.59,3.38
0.6612615795008173,Ideal,D,SI1,60.0,59.8,1724,5.25,5.26,3.15
0.47212739748818777,Premium,E,SI2,61.4,59.0,855,4.75,4.7,2.9
2.234250709714845,Very Good,H,SI1,62.2,57.0,15745,7.97,8.08,4.99
0.7996328928730525,Good,E,VS1,62.7,57.0,3016,5.65,5.7,3.56
0.4420434681148604,Premium,F,SI1,63.1,56.0,722,4.79,4.82,3.03
1.789634150111261,Good,F,SI1,61.0,57.0,12871,7.54,7.6,4.62
1.8021389718854315,Premium,F,SI1,61.4,59.0,11588,7.34,7.31,4.5
2.929659866033094,Good,G,SI2,63.7,59.0,17608,8.57,8.52,5.44
1.5235741290164537,Premium,H,VS2,62.3,57.0,7549,7.06,7.12,4.42
0.3876683077822356,Ideal,G,IF,61.9,56.0,925,4.43,4.47,2.75
1.7493866116649672,Premium,H,VS2,63.8,60.0,9088,7.04,7.12,4.52
0.9548243737302375,Very Good,D,SI2,61.4,57.0,3454,5.91,5.94,3.64
1.0706721623022746,Good,G,VS1,58.8,58.0,6777,6.52,6.61,3.86
1.0188430208467,Ideal,H,VVS2,61.8,60.0,4617,6.11,6.15,3.79
1.5052142167805502,Good,J,VS2,61.2,57.0,6015,6.93,6.88,4.23
1.039480804278681,Premium,G,VS2,62.0,60.0,4137,6.19,6.14,3.82
0.3668850560703003,Good,I,VS2,62.3,57.0,435,4.32,4.35,2.7
1.1177710125063403,Premium,F,SI1,63.7,58.0,3924,6.09,6.02,3.86
0.6517785699811084,Premium,F,VS2,60.8,56.0,1778,5.33,5.3,3.23
1.111424070911539,Premium,E,I1,59.6,59.0,2464,6.29,6.32,3.76
0.35344868885101377,Good,E,VVS2,62.4,57.0,759,4.28,4.31,2.68
2.5843774969667748,Good,J,VS2,60.1,58.0,15465,8.46,8.41,5.07
1.1730442672615458,Premium,I,SI2,61.5,57.0,2968,6.57,6.49,4.02
0.3435912301632869,Premium,F,VVS1,62.1,55.0,868,4.31,4.32,2.68
0.3425120464350564,Good,E,SI1,62.2,54.0,516,4.38,4.4,2.73
0.7450507917816744,Very Good,F,VVS2,61.7,57.0,2854,5.67,5.64,3.49
0.6148988092051672,Premium,G,VS1,62.7,55.0,1813,5.18,5.16,3.24
0.6200436933810349,Good,G,VS1,62.7,56.0,1656,5.08,5.1,3.19
0.7632615725023637,Premium,F,VVS2,60.9,56.0,3217,5.57,5.59,3.4
1.1266364404042835,Ideal,J,SI2,61.3,56.0,4364,6.56,6.59,4.03
0.405230159935074,Premium,H,VS2,62.8,59.0,521,4.38,4.44,2.77
1.294920048929988,Very Good,G,SI2,62.1,59.0,4584,6.54,6.48,4.04
2.215929082083379,Premium,E,SI2,59.9,58.0,13677,8.18,8.14,4.89
