carat,cut,color,clarity,depth,table,price,x,y,z
0.2627608686883177,Premium,G,VVS1,62.1,56.0,559,3.97,4.0,2.47
0.6226344594976151,Premium,F,VVS2,60.0,57.0,2201,5.44,5.42,3.26
0.445514157249695,Good,E,VVS2,62.1,55.0,1238,4.76,4.74,2.95
0.48283574770092436,Premium,E,VVS2,60.8,57.0,1304,4.92,4.89,2.98
1.8609187150285014,Premium,E,SI2,62.3,55.0,6901,7.44,7.37,4.61
1.0691311497461147,Good,E,SI2,55.4,62.0,3011,6.63,6.59,3.66
0.5776035041423686,Premium,F,VS1,60.2,56.0,1765,5.22,5.24,3.15
0.56193931016558,Good,D,VS2,62.0,56.0,1679,5.17,5.19,3.21
0.7439200593625408,Premium,E,VS2,60.0,59.0,2102,5.58,5.56,3.34
1.3071004407914542,Premium,H,SI1,60.3,57.0,4789,6.79,6.85,4.11
0.4416851849978561,Good,D,SI2,62.8,56.0,855,4.73,4.7,2.96
1.9577697427689251,Premium,E,SI2,62.8,56.0,13134,7.76,7.82,4.89
0.634480873377858,Premium,F,SI1,55.3,63.0,1367,5.67,5.61,3.12
0.847089425990959,Good,F,SI1,63.5,56.0,2401,5.58,5.66,3.57
0.6429137245839671,Premium,H,IF,61.2,65.0,1440,5.16,5.27,3.19
1.700718240294451,Good,I,VS1,61.2,55.0,10286,7.49,7.47,4.58
1.1335348945644743,Ideal,F,SI2,61.6,66.0,2958,6.46,6.24,3.92
0.4798594597034221,Very Good,E,VVS1,62.6,56.0,1397,4.73,4.7,2.95
1.685228155814965,Very Good,F,SI1,62.8,56.0,9904,7.26,7.33,4.58
0.3980853934750219,Ideal,I,VS1,60.7,62.0,552,4.53,4.59,2.77
2.4527502580940737,Premium,I,VS2,61.2,58.0,18193,8.18,8.2,5.01
0.4427858813888631,Premium,E,SI1,60.9,60.0,945,4.77,4.75,2.9
0.3370110884886639,Good,F,VS2,61.9,55.0,625,4.31,4.35,2.68
0.3297157227730185,Premium,H,VVS2,61.7,54.2,631,4.32,4.35,2.67
1.0185596787461164,Good,H,SI2,60.6,57.0,3854,6.3,6.26,3.81
0.6524326637229261,Good,E,SI1,61.4,56.0,1415,5.21,5.24,3.21
0.38306139891398744,Premium,E,VS1,60.8,57.0,1033,4.53,4.49,2.74
2.2992264364300947,Premium,F,SI2,62.7,57.0,13453,8.07,7.93,5.03
1.1617160106798783,Premium,D,VS1,59.1,56.0,8341,6.65,6.59,3.91
0.24799904432174308,Ideal,F,VS2,61.8,55.0,493,3.93,3.96,2.43
1.1399518468572212,Good,F,SI2,62.5,55.0,4416,6.39,6.4,4.0
0.5813472099249191,Premium,E,SI1,61.4,60.0,1422,5.21,5.25,3.21
2.1176400962206965,Good,J,SI1,63.4,57.0,11566,7.97,7.89,5.03
0.634849919930385,Ideal,G,VVS2,63.3,58.0,1800,5.04,5.07,3.2
0.5672978128422732,Good,F,VVS2,62.8,55.0,2153,5.0,5.13,3.18
0.3557923080556431,Good,J,VS1,62.6,53.0,373,4.28,4.32,2.69
0.3707640039187667,Premium,F,VS2,60.9,56.0,776,4.35,4.32,2.64
0.5424190520185834,Premium,G,VVS1,63.3,53.0,1885,5.06,5.09,3.21
0.5993444726963537,Very Good,G,VVS2,63.1,58.0,1974,5.11,5.07,3.21
2.296374222198893,Ideal,H,VS2,62.2,58.0,18443,8.17,8.12,5.06
0.660652637933219,Premium,G,VS1,60.7,55.0,2206,5.55,5.59,3.38
0.5614666801903442,Very Good,D,SI1,60.0,59.8,1724,5.25,5.26,3.15
0.4914445614411956,Good,E,SI2,61.4,59.0,855,4.75,4.7,2.9
2.181393512394858,Very Good,H,SI1,62.2,57.0,15745,7.97,8.08,4.99
0.7570345862058254,Good,E,VS1,62.7,57.0,3016,5.65,5.7,3.56
0.4868459155665459,Ideal,F,SI1,63.1,56.0,722,4.79,4.82,3.03
1.732571931103081,Very Good,F,SI1,61.0,57.0,12871,7.54,7.6,4.62
1.6470832539981073,Very Good,F,SI1,61.4,59.0,11588,7.34,7.31,4.5
2.7371381073646144,Premium,G,SI2,63.7,59.0,17608,8.57,8.52,5.44
1.4317480900206223,Good,H,VS2,62.3,57.0,7549,7.06,7.12,4.42
0.40798643074521607,Premium,G,IF,61.9,56.0,925,4.43,4.47,2.75
1.5289964693209002,Good,H,VS2,63.8,60.0,9088,7.04,7.12,4.52
0.8607601187750863,Good,D,SI2,61.4,57.0,3454,5.91,5.94,3.64
